,area,title,desc,title+desc
21,renewable energy,community scale solar pv and storage,"description: one or multiple grid‐connected, ground‐mounted utility‐scale solar photovoltaic (pv) fields located within the town boundaries that feed renewable electricity into the local grid. the total installed capacity modelled in the ceip is 12mw, installed in 2021. ownership of the facility is local, returning revenues into the community.objective: generates clean electricity locally in order to offset the rising electrical demand caused by electrification as the community’s building stock and vehicle fleet transitions away from fossil fuels (fuel oil, gasoline, diesel), while at the same time reducing demand on the regional electrical grid. combined with a gradual increase in local battery storage, this supports the integration of locally‐generated renewable electricity into the grid.rationale: as a town with relatively high population density for nova scotia standards, the community of bridgewater has limited vacant land on which to deploy wind turbines, currently the largest source of renewable electricity in the province. due to the proximity of homes and businesses, solar is therefore the preferred large‐scale source of renewable electricity. with a significant, and growing, electrical base load due to its commercial, institutional and industrial facilities, the local grid has room to absorb locally‐generatedrenewable electricity, and sufficient land parcels exist to deploy one or more large array","community scale solar pv and storage. description: one or multiple grid‐connected, ground‐mounted utility‐scale solar photovoltaic (pv) fields located within the town boundaries that feed renewable electricity into the local grid. the total installed capacity modelled in the ceip is 12mw, installed in 2021. ownership of the facility is local, returning revenues into the community.objective: generates clean electricity locally in order to offset the rising electrical demand caused by electrification as the community’s building stock and vehicle fleet transitions away from fossil fuels (fuel oil, gasoline, diesel), while at the same time reducing demand on the regional electrical grid. combined with a gradual increase in local battery storage, this supports the integration of locally‐generated renewable electricity into the grid.rationale: as a town with relatively high population density for nova scotia standards, the community of bridgewater has limited vacant land on which to deploy wind turbines, currently the largest source of renewable electricity in the province. due to the proximity of homes and businesses, solar is therefore the preferred large‐scale source of renewable electricity. with a significant, and growing, electrical base load due to its commercial, institutional and industrial facilities, the local grid has room to absorb locally‐generatedrenewable electricity, and sufficient land parcels exist to deploy one or more large array"
22,renewable energy,installing renewable energy systems in institutional buildings,"there will be investments in renewable energy in institutional buildings, like heat pumps and solar energy systems. at least one solar energy system will be installed annually in an existing building. a reservation for a solar energy system will be made in 50 % of large construction projects","installing renewable energy systems in institutional buildings. there will be investments in renewable energy in institutional buildings, like heat pumps and solar energy systems. at least one solar energy system will be installed annually in an existing building. a reservation for a solar energy system will be made in 50 % of large construction projects"
25,water management,hemel & aarde wellfield expansion,"the proposed expansion of the hemel en aarde wellfield in hermanus will involve:• the drilling of four new production boreholes with wellheads (hav10 new, hav11, t4/5, and t4/6);• the redrilling of borehole hav1 alongside the existing disused borehole of the same name – to be called hav1replacement (hereafter hav1 repl.);• the deepening of existing monitoring borehole t4/3 and conversion to a production borehole;• the drilling of a new monitoring borehole t4/7;• the deepening of an existing monitoring borehole hav5m;• the installation of connector pipes between the production boreholes and the existing bulk water pipeline, and• the installation of the electrical cable from eskom main line to feed wellhead electrical board.the production boreholes will be fully developed for abstraction. the connector pipelines will link the boreholes to the existingmain hemel en aarde bulk water pipeline, which currently feeds groundwater from the existing hemel en aarde wellfieldboreholes to the preekstoel water treatment works (wtw) in hermanus. production boreholes are expected to be 200 to 300metres (m) deep and ~0.25 m in diameter. the surface wellhead structure is enclosed in a borehole chamber or casement,which is partially subterranean, of dimensions ~4 x 2 m in plan and height ~2 m.production boreholes will have wellheads (operational infrastructure such as gauges and electronic devices) installed andwill be housed in secure partially subterranean concrete chambers. each borehole and wellhead chamber will be fencedoff for security purposes. each borehole will have connector pipelines linking them to the existing main hemel en aarde bulkwater pipeline, which currently feeds water from the existing hemel en aarde wellfield to the preekstoel wtw in hermanus.detailed specialist studies available on request","hemel & aarde wellfield expansion. the proposed expansion of the hemel en aarde wellfield in hermanus will involve:• the drilling of four new production boreholes with wellheads (hav10 new, hav11, t4/5, and t4/6);• the redrilling of borehole hav1 alongside the existing disused borehole of the same name – to be called hav1replacement (hereafter hav1 repl.);• the deepening of existing monitoring borehole t4/3 and conversion to a production borehole;• the drilling of a new monitoring borehole t4/7;• the deepening of an existing monitoring borehole hav5m;• the installation of connector pipes between the production boreholes and the existing bulk water pipeline, and• the installation of the electrical cable from eskom main line to feed wellhead electrical board.the production boreholes will be fully developed for abstraction. the connector pipelines will link the boreholes to the existingmain hemel en aarde bulk water pipeline, which currently feeds groundwater from the existing hemel en aarde wellfieldboreholes to the preekstoel water treatment works (wtw) in hermanus. production boreholes are expected to be 200 to 300metres (m) deep and ~0.25 m in diameter. the surface wellhead structure is enclosed in a borehole chamber or casement,which is partially subterranean, of dimensions ~4 x 2 m in plan and height ~2 m.production boreholes will have wellheads (operational infrastructure such as gauges and electronic devices) installed andwill be housed in secure partially subterranean concrete chambers. each borehole and wellhead chamber will be fencedoff for security purposes. each borehole will have connector pipelines linking them to the existing main hemel en aarde bulkwater pipeline, which currently feeds water from the existing hemel en aarde wellfield to the preekstoel wtw in hermanus.detailed specialist studies available on request"
26,waste management (including waste recycling),reciclaje en viviendas y sector comercial,proyecto en desarrollo en todo el sector urbano de la comuna,reciclaje en viviendas y sector comercial. proyecto en desarrollo en todo el sector urbano de la comuna
27,transport,city-owned curb-side electric vehicle supply equipment,"the city has set aside funding through its own budget to help support the expansion of evse and to implement the net zero transportation plan (once it has been finalized). however, the city is also hoping to attract other funding sources to help further the development of publicly-accessible ev charging. this funding could come from utility or other funds to support evse. the regional public transit system will need to invest in resilience measures to ensure reliable and continuous service. the city is currently developing a net zero transportation plan. the city is also running  a project to identify locations for city-owned, publicly-accessible, electric vehicle charging stations. this will help renters and other residents that lack access to evse by providing curbside charging at locations that are being identified through public engagement. here is a link to an online tool that residents can use to make suggestions and comments for locations: https://cambridgegis.maps.arcgis.com/apps/crowdsourcepolling/index.html?appid=153271b7f5ee474fb8a619c31d12d5b3","city-owned curb-side electric vehicle supply equipment. the city has set aside funding through its own budget to help support the expansion of evse and to implement the net zero transportation plan (once it has been finalized). however, the city is also hoping to attract other funding sources to help further the development of publicly-accessible ev charging. this funding could come from utility or other funds to support evse. the regional public transit system will need to invest in resilience measures to ensure reliable and continuous service. the city is currently developing a net zero transportation plan. the city is also running  a project to identify locations for city-owned, publicly-accessible, electric vehicle charging stations. this will help renters and other residents that lack access to evse by providing curbside charging at locations that are being identified through public engagement. here is a link to an online tool that residents can use to make suggestions and comments for locations: https://cambridgegis.maps.arcgis.com/apps/crowdsourcepolling/index.html?appid=153271b7f5ee474fb8a619c31d12d5b3"
28,renewable energy,photovoltaic solar energy,"with the renovation of the building (ljubljanski potniški promet) and the construction of two canopies with a total size of 31,400 m2, large unused areas will be created on the location, which are suitable for the construction of a larger photovoltaic power plant. since the consumption of electricity due to all vehicle supply processes is relatively large, and in the future this need will increase even more with the introduction of electric vehicles, it makes sense to reduce the energy dependence of extraction from external sources and increase self-sufficiency with green ones. electricity. it is estimated that the newly built power plant will produce 2,300 mwh of electricity annually and thus reduce total co2 emissions by 827 t co2/year","photovoltaic solar energy. with the renovation of the building (ljubljanski potniški promet) and the construction of two canopies with a total size of 31,400 m2, large unused areas will be created on the location, which are suitable for the construction of a larger photovoltaic power plant. since the consumption of electricity due to all vehicle supply processes is relatively large, and in the future this need will increase even more with the introduction of electric vehicles, it makes sense to reduce the energy dependence of extraction from external sources and increase self-sufficiency with green ones. electricity. it is estimated that the newly built power plant will produce 2,300 mwh of electricity annually and thus reduce total co2 emissions by 827 t co2/year"
29,renewable energy,bhcc solar farm,"stage 1 feasibility was carried out in late 2019 into the potential for 2.5mw solar farm on bhcc land.  stage 2 - £180k for detailed feasibility work and £2-£2.5m to deliver, creating a total project cost of about £2.7m","bhcc solar farm. stage 1 feasibility was carried out in late 2019 into the potential for 2.5mw solar farm on bhcc land.  stage 2 - £180k for detailed feasibility work and £2-£2.5m to deliver, creating a total project cost of about £2.7m"
32,energy efficiency (including public lighting),city of las vegas c-pace,"the city of las vegas launched the state’s first commercial property assessed clean energy (c-pace) program, a new effort designed to provide long-term investments in clean energy for commercial property owners. c-pace was enabled by the 2017 nevada legislature and adopted in november 2018 by the las vegas city council. under this program, which is commonly found in other parts of the country, owners of existing commercial properties will be able to finance up to 100 percent of the cost of energy efficiency improvements and renewable energy projects for up to 25 years through a special assessment placed on the property.  project financing is provided by private capital providers in an open market and repaid through the assessment. since the financing is tied to the property, the owner is not required to sign a personal guarantee and the c-pace assessment can transfer to a new owner upon sale. for a project to be eligible, the project’s estimated energy cost savings must exceed the financing amount, providing a positive cash flow for the property owner; property owners, in turn, reduce their energy costs and may improve the value of their building—all with no upfront, out-of-pocket costs. the city selected sustainable real estate solutions (srs) to serve as the third-party administrator of the c-pace program. srs will handle outreach, education, project underwriting and quality assurance services and is launched the program in august 2019","city of las vegas c-pace. the city of las vegas launched the state’s first commercial property assessed clean energy (c-pace) program, a new effort designed to provide long-term investments in clean energy for commercial property owners. c-pace was enabled by the 2017 nevada legislature and adopted in november 2018 by the las vegas city council. under this program, which is commonly found in other parts of the country, owners of existing commercial properties will be able to finance up to 100 percent of the cost of energy efficiency improvements and renewable energy projects for up to 25 years through a special assessment placed on the property.  project financing is provided by private capital providers in an open market and repaid through the assessment. since the financing is tied to the property, the owner is not required to sign a personal guarantee and the c-pace assessment can transfer to a new owner upon sale. for a project to be eligible, the project’s estimated energy cost savings must exceed the financing amount, providing a positive cash flow for the property owner; property owners, in turn, reduce their energy costs and may improve the value of their building—all with no upfront, out-of-pocket costs. the city selected sustainable real estate solutions (srs) to serve as the third-party administrator of the c-pace program. srs will handle outreach, education, project underwriting and quality assurance services and is launched the program in august 2019"
33,waste management (including waste recycling),"implementar esquemas de disminución, aprovechamiento y valorización de residuos","la medida propone acciones enfocadas a optimizar la gestión de residuos sólidos orgánicos y reciclables en el municipio de itagüí, con actividades de separación de residuos en la fuente de generación. específicamente, busca formalizar recicladores, hacer campañas de compostaje e impulsar iniciativas de valorización de residuos de papel y cartón para crear y mejorar losesquemas de aprovechamiento, reciclaje y valorización de estos. la medida se ejecutará en coordinación con el amva y las empresas prestadoras de servicios públicos.en el plan de desarrollo 2020 – 2023, itagüí ciudad de oportunidades, se propone el programa 66 “aprovechamiento de residuos orgánicos e inorgánicos en la zona urbana y/o rural de la ciudad” que tiene como meta de resultado el “aumento al 12% del aprovechamiento de residuos sólidos”, meta que también se incluyó en el presente picc","implementar esquemas de disminución, aprovechamiento y valorización de residuos. la medida propone acciones enfocadas a optimizar la gestión de residuos sólidos orgánicos y reciclables en el municipio de itagüí, con actividades de separación de residuos en la fuente de generación. específicamente, busca formalizar recicladores, hacer campañas de compostaje e impulsar iniciativas de valorización de residuos de papel y cartón para crear y mejorar losesquemas de aprovechamiento, reciclaje y valorización de estos. la medida se ejecutará en coordinación con el amva y las empresas prestadoras de servicios públicos.en el plan de desarrollo 2020 – 2023, itagüí ciudad de oportunidades, se propone el programa 66 “aprovechamiento de residuos orgánicos e inorgánicos en la zona urbana y/o rural de la ciudad” que tiene como meta de resultado el “aumento al 12% del aprovechamiento de residuos sólidos”, meta que también se incluyó en el presente picc"
36,transport,bus rappid transport - braga,"o bus rapid transport funciona como um sistema de transportes público de alto nível e qualidade que funcionará com veículos rodoviários de passageiros em canal dedicado, ao longo de quinze quilómetros, com prioridade nos cruzamentos. este autocarro não irá emitir gases com efeito estufa sendo de características eléctricas ou movido a hidrogénio. https://ominho.pt/antonio-costa-garante-bus-rapid-transit-em-braga-no-quadro-europeu-2020-30/","bus rappid transport - braga. o bus rapid transport funciona como um sistema de transportes público de alto nível e qualidade que funcionará com veículos rodoviários de passageiros em canal dedicado, ao longo de quinze quilómetros, com prioridade nos cruzamentos. este autocarro não irá emitir gases com efeito estufa sendo de características eléctricas ou movido a hidrogénio. https://ominho.pt/antonio-costa-garante-bus-rapid-transit-em-braga-no-quadro-europeu-2020-30/"
37,transport,vlt - veículo leve sobre trilho,"projeto do governo estadual, via emtu. primeira fase (santos - são vicente) implantada.  segunda fase (santos atual - santos centro) em andamento. próximas fases (são vicente - área continental; praia grande e outros municípios da baixada santista) em estudos","vlt - veículo leve sobre trilho. projeto do governo estadual, via emtu. primeira fase (santos - são vicente) implantada.  segunda fase (santos atual - santos centro) em andamento. próximas fases (são vicente - área continental; praia grande e outros municípios da baixada santista) em estudos"
38,transport,promoción de un sistema de transporte fluvial y lacustre en el marco de un sistema de transporte intermodal fase i,"la ciudad viene planeando un sistema de transporte acuático en su bahía-sistema de caños y lagunas interno-ciénaga de la virgen para reducir los tiempos de traslados en la ciudad, al mismo tiempo que hace más eficiente la operación del sistema de transporte masivo transcaribe. recientemente se ha venido trabajando con la academia, quien ha desarrollado un prototipo de embarcación que funciona con energía solar y actualmente se encuentra en construcción. se encuentra por definir la operación del sistema. el proyecto completo incluye la adecuación de los cuerpos internos de agua para el paso de las embarcaciones. la fase inicial que se trabaja tiene un costo de 3.5 millones de usd aproximadamente","promoción de un sistema de transporte fluvial y lacustre en el marco de un sistema de transporte intermodal fase i. la ciudad viene planeando un sistema de transporte acuático en su bahía-sistema de caños y lagunas interno-ciénaga de la virgen para reducir los tiempos de traslados en la ciudad, al mismo tiempo que hace más eficiente la operación del sistema de transporte masivo transcaribe. recientemente se ha venido trabajando con la academia, quien ha desarrollado un prototipo de embarcación que funciona con energía solar y actualmente se encuentra en construcción. se encuentra por definir la operación del sistema. el proyecto completo incluye la adecuación de los cuerpos internos de agua para el paso de las embarcaciones. la fase inicial que se trabaja tiene un costo de 3.5 millones de usd aproximadamente"
41,water management,community engagement  and empowerment  covid19  response,"project scope the project was implemented in 12 wards focusing on the smallest governance structure which is a zone. the total number of zones is 215 zones for the project project objective•to support the delivery of community engagement and empowerment process using the human rights-based approach for the water security and action investment plan; •demonstrate social inclusiveness (targeting all categories of people men, women, youths, persons with disabilities, elderly, and community groups and existing leadership;•have a structured planning process covering: •• participatory and inclusive   problem identification •participatory analysis of root causes •putting together local area plans reflecting water security •resource mobilization, advocacy, project implementation / taking action •strengthening of a local governance structure for decision making and participation. key project outputs•    platforms for planning and decision making strengthened;•    awareness of rights and responsibilities on built on natural environment increased;•    12 local area development plans (reflecting water security concerns) developed through; •    planning and decision-making processes that are socially inclusive•    communication between the community and the council improved","community engagement  and empowerment  covid19  response. project scope the project was implemented in 12 wards focusing on the smallest governance structure which is a zone. the total number of zones is 215 zones for the project project objective•to support the delivery of community engagement and empowerment process using the human rights-based approach for the water security and action investment plan; •demonstrate social inclusiveness (targeting all categories of people men, women, youths, persons with disabilities, elderly, and community groups and existing leadership;•have a structured planning process covering: •• participatory and inclusive   problem identification •participatory analysis of root causes •putting together local area plans reflecting water security •resource mobilization, advocacy, project implementation / taking action •strengthening of a local governance structure for decision making and participation. key project outputs•    platforms for planning and decision making strengthened;•    awareness of rights and responsibilities on built on natural environment increased;•    12 local area development plans (reflecting water security concerns) developed through; •    planning and decision-making processes that are socially inclusive•    communication between the community and the council improved"
43,water management,sistemas de captación pluvial,se tiene previsto instalar sistemas de captación pluvial en zona canteras,sistemas de captación pluvial. se tiene previsto instalar sistemas de captación pluvial en zona canteras
44,renewable energy,curitiba mais energia - painéis fotovoltaicos na rodoviária e em 3 terminais de transporte coletivo,"the “curitiba mais energia” project has as its scope the installation of photovoltaic systems (pv) connected to the grid on the roofs of four bus terminals and on the ground over a closed sanitary landfill. the total power of the facilities is estimated between 10 and 15 mw, and will contribute to the reduction of 89,028 tons of co2 between 2020 and 2050 in the emission of greenhouse gases by the city. the project will be implemented following the energy compensation mechanism, net metering, regulated by aneel resolution n°482/2012 for distributed generation (dg). the plant to be installed in the landfill will be built in partnership with copel (an energy concessionaire in paraná), through the formation of an spe. the business model for the implementation of the plants on the roofs is under study","curitiba mais energia - painéis fotovoltaicos na rodoviária e em 3 terminais de transporte coletivo. the “curitiba mais energia” project has as its scope the installation of photovoltaic systems (pv) connected to the grid on the roofs of four bus terminals and on the ground over a closed sanitary landfill. the total power of the facilities is estimated between 10 and 15 mw, and will contribute to the reduction of 89,028 tons of co2 between 2020 and 2050 in the emission of greenhouse gases by the city. the project will be implemented following the energy compensation mechanism, net metering, regulated by aneel resolution n°482/2012 for distributed generation (dg). the plant to be installed in the landfill will be built in partnership with copel (an energy concessionaire in paraná), through the formation of an spe. the business model for the implementation of the plants on the roofs is under study"
