title,desc,title+desc,area
renewable energy at the vicente lópez university center,implementation of an energy efficiency system and use of solar energy in the university center of vicente lópez.,renewable energy at the vicente lópez university center. implementation of an energy efficiency system and use of solar energy in the university center of vicente lópez.,renewable energy
electric fleet and charging stations,it seeks to install electric charging stations and make the replacement of the municipal fleet to electric or hybrid vehicles.,electric fleet and charging stations. it seeks to install electric charging stations and make the replacement of the municipal fleet to electric or hybrid vehicles.,transport
installation of solar panels,"it seeks to cover the equivalent of an area of 2500 m2 with the installation of 680 solar panels (450w each), which means 300 kw of installed power. with the right inclination of 10 degrees and installed coplanar to roof would generate 447,788 kwh per year. this project represents an emission saving of 206 tons of co2 per year. the project currently has funding for a power of 100 kw and financing is sought for 200 kw more.","installation of solar panels. it seeks to cover the equivalent of an area of 2500 m2 with the installation of 680 solar panels (450w each), which means 300 kw of installed power. with the right inclination of 10 degrees and installed coplanar to roof would generate 447,788 kwh per year. this project represents an emission saving of 206 tons of co2 per year. the project currently has funding for a power of 100 kw and financing is sought for 200 kw more.",renewable energy
comprehensive solid waste management plan,"it aims to make the concept of the circular economy viable, promoting sustainability and the use of scarce resources. thus, in the current and proposed management of waste, the minimization, reuse and recycling of the waste generated are taken as premises. to this end, the comprehensive management plan for urban solid waste (girsu) was developed in order to comply with current regulations, specifically provincial law no. 13,592.","comprehensive solid waste management plan. it aims to make the concept of the circular economy viable, promoting sustainability and the use of scarce resources. thus, in the current and proposed management of waste, the minimization, reuse and recycling of the waste generated are taken as premises. to this end, the comprehensive management plan for urban solid waste (girsu) was developed in order to comply with current regulations, specifically provincial law no. 13,592.",waste management
garbage,waste treatment centre,garbage. waste treatment centre,waste management
composting center of salvador,"create a composting center for the receipt of pruning waste and household organic waste, which also functions as an environmental education center. together, implement programs to encourage small composting (composting in schools of the municipal education network and program to encourage condominium-residential and commercial composting) and centralized model (large plants for the treatment of fair waste, pruning of municipal green areas and household waste).","composting center of salvador. create a composting center for the receipt of pruning waste and household organic waste, which also functions as an environmental education center. together, implement programs to encourage small composting (composting in schools of the municipal education network and program to encourage condominium-residential and commercial composting) and centralized model (large plants for the treatment of fair waste, pruning of municipal green areas and household waste).",waste management
implement ecological corridors,"corridors are essential for landscape protection, listed property, conservation units, maintenance of historical traditions and to ensure maintenance of ecosystem services and minimization of the consequences of climate change in the region. the creation of ecological corridors, also foreseen in action 49.10 of the salvador resilience strategy, aims to implement vegetated spaces that interconnect areas affected by human activity, aiming at the conservation of biodiversity through the displacement of animals, seed dispersal and increased vegetation cover. this initiative is part of the set of actions considered as priorities to achieve the specific objectives of the pmma. part of the strategy for preserving the transatlantic forest is to create a balance between the increase of the urban tourist experience, the preservation of ecosystem services and the awareness of the theme.","implement ecological corridors. corridors are essential for landscape protection, listed property, conservation units, maintenance of historical traditions and to ensure maintenance of ecosystem services and minimization of the consequences of climate change in the region. the creation of ecological corridors, also foreseen in action 49.10 of the salvador resilience strategy, aims to implement vegetated spaces that interconnect areas affected by human activity, aiming at the conservation of biodiversity through the displacement of animals, seed dispersal and increased vegetation cover. this initiative is part of the set of actions considered as priorities to achieve the specific objectives of the pmma. part of the strategy for preserving the transatlantic forest is to create a balance between the increase of the urban tourist experience, the preservation of ecosystem services and the awareness of the theme.",public and green spaces
solar park,"the project is the construction of a photovoltaic generating system (a solar farm) through the installation of solar panels in the park of canabrava and in the ceilings of brt stations, generating an installed power of 5mw, for the use of the city hall in public lighting and energy consumption of municipal public buildings. the system will be operated under a onerous concession or ppp regime, in order to supply a significant part of the energy demand of the municipal public administration, through demand assurance and energy management and subsequent reversal of the asset to the city hall, at the end of the concessionperiod (build-operate-transfer). with this pilot project of solar farm, the city hall aims to originate a business model that is, at the same time, attractive to the market and with appropriate counterparts to the public interest, comprising the following premises of socioeconomic benefits:•the creation of value, through the generation of energy securities assets;•the gradual replacement of the energy matrix of the municipal administration by clean and renewable energy;•the neutralization of the carbon of salvador and  consequent qualification of the municipality to processes of issuance of green bonds, encouraged infrastructure debentures, national and international green certification programs and financing lines of specific programs of activities of environmental interest; e•the use of energy generated as a commodity in the implementation of programs to promote economic development and entrepreneurial activity (pmamc, 2020).","solar park. the project is the construction of a photovoltaic generating system (a solar farm) through the installation of solar panels in the park of canabrava and in the ceilings of brt stations, generating an installed power of 5mw, for the use of the city hall in public lighting and energy consumption of municipal public buildings. the system will be operated under a onerous concession or ppp regime, in order to supply a significant part of the energy demand of the municipal public administration, through demand assurance and energy management and subsequent reversal of the asset to the city hall, at the end of the concessionperiod (build-operate-transfer). with this pilot project of solar farm, the city hall aims to originate a business model that is, at the same time, attractive to the market and with appropriate counterparts to the public interest, comprising the following premises of socioeconomic benefits:•the creation of value, through the generation of energy securities assets;•the gradual replacement of the energy matrix of the municipal administration by clean and renewable energy;•the neutralization of the carbon of salvador and  consequent qualification of the municipality to processes of issuance of green bonds, encouraged infrastructure debentures, national and international green certification programs and financing lines of specific programs of activities of environmental interest; e•the use of energy generated as a commodity in the implementation of programs to promote economic development and entrepreneurial activity (pmamc, 2020).",renewable energy
be circular platform,"the ser circular program, an initiative of the city's climate action plan, aims to stimulate the adoption of the principles of the circular economy and the generation of business in the area. the principles of circular economy include preserving and strengthening natural capital, optimizing the use of material resources, and maximizing system efficiency. circular economy concepts can help improve water and energy efficiency and waste management, as well as reduce unemployment and informality. with this, the circular ser program will create new opportunities for generating income and reducing the environmental impacts of production chains. the program will focus on low-income communities and assisting existing start-ups and businesses for the adoption of circular economy principles. the program will consist of an online platform, which will offer materials, workshops and seminars on the principles of the circular economy, as well as training through a bus and containers in vulnerable communities on the principles and skills of the circular economy. the online platform will contain useful information to raise awareness of circular models and to help companies apply the principles of the circular and sustainable economy to their products, services and use of materials. the program will help create businesses and green jobs in the city, developing circular economy hackathons in low-income neighborhoods and training and empowering the workforce in the principles of the circular economy. therefore, it will generate wealth for communities that have been left without income due to the covid-19 pandemic. in addition, the program will contribute to the development of a low-carbon economy, reducing waste generation and increasing the reuse of materials in the production chain. reducing waste generation will also help reduce the risk of flooding and landslides caused by improper waste disposal in informal settlements in the city. it will thus promote climate justice and reduce greenhouse gas emissions.","be circular platform. the ser circular program, an initiative of the city's climate action plan, aims to stimulate the adoption of the principles of the circular economy and the generation of business in the area. the principles of circular economy include preserving and strengthening natural capital, optimizing the use of material resources, and maximizing system efficiency. circular economy concepts can help improve water and energy efficiency and waste management, as well as reduce unemployment and informality. with this, the circular ser program will create new opportunities for generating income and reducing the environmental impacts of production chains. the program will focus on low-income communities and assisting existing start-ups and businesses for the adoption of circular economy principles. the program will consist of an online platform, which will offer materials, workshops and seminars on the principles of the circular economy, as well as training through a bus and containers in vulnerable communities on the principles and skills of the circular economy. the online platform will contain useful information to raise awareness of circular models and to help companies apply the principles of the circular and sustainable economy to their products, services and use of materials. the program will help create businesses and green jobs in the city, developing circular economy hackathons in low-income neighborhoods and training and empowering the workforce in the principles of the circular economy. therefore, it will generate wealth for communities that have been left without income due to the covid-19 pandemic. in addition, the program will contribute to the development of a low-carbon economy, reducing waste generation and increasing the reuse of materials in the production chain. reducing waste generation will also help reduce the risk of flooding and landslides caused by improper waste disposal in informal settlements in the city. it will thus promote climate justice and reduce greenhouse gas emissions.",waste management
"belo horizonte, capital of sustainability and resilience of latin america","signs for active transportation: the goal of the project is to create facilities, through visual and universal communication, so that people can get around on foot and pedal more efficiently, comfortably and agility through the streets of belo horizonte. through the implementation of specific signs and focused on who is walking and pedaling, the project aims to shorten the distances between specific points of the city to optimize the displacements of active transport in the city. initially, the project will be implemented in the city center.","belo horizonte, capital of sustainability and resilience of latin america. signs for active transportation: the goal of the project is to create facilities, through visual and universal communication, so that people can get around on foot and pedal more efficiently, comfortably and agility through the streets of belo horizonte. through the implementation of specific signs and focused on who is walking and pedaling, the project aims to shorten the distances between specific points of the city to optimize the displacements of active transport in the city. initially, the project will be implemented in the city center.",transport
solar schools,"the solar schools project is being developed under the compasso ufmg program, through a partnership established between the university and city of belo horizonte, with the objective of developing methods and solutions for municipal areas most vulnerable to climate change. the project aims to research the dynamics of electricity use in standard buildings of the municipal school system, propose actions to improve energy efficiency according to national regulations and prepare the installation in a solar photovoltaic generator interconnected to the electricity network of the local concessionaire. since september 2018, the solar schools project has been accelerated by the urban-leds ii project and, since the end of 2019, has been part of the leds lab initiative of this project, both funded by the european commission and implemented by iclei - local governments for sustainability in partnership with un-habitat. in this context, belo horizonte was selected to receive direct support from a consortium of specialized consultancies hired by iclei and composed by mitsidi projetos, i care & consult, markup consultores and hill consulting with the objective of implementing a pilot project of photovoltaic energy and/or energy efficiency from analysis of occupation and use of electricity at herbert josé de souza municipal school (emhjs),  in the northern region, as a first step towards the implementation of the solar schools project.recently, the leds lab consulting consortium concluded the series of webinars on climate finance, aimed at members. in addition, mitigation measures were proposed based on the analyses carried out by ufmg and the initiative's consultancy, which consider energy efficiency actions and renewable energy generation. two measures were selected for presenting technical, financial and environmental feasibility, with a view to implementing them in the emhj, i.e.: installation of photovoltaic solar power generation system (vf);  efficiency of internal lighting, considering the exchange of lamps and luminaires in order to meet the standards, improve visual comfort and save energy. these two mitigation measures will include the development of a basic project for each, that is, they will be studied, budgeted and detailed in order to effectively guide their implementation. part of these actions will be implemented with the seed capital made available by the urban-ledsii project (eur 15,000 or r$ 73,253.00), and part will be subject to application to obtain funding from other sources. recently, the consultancy submitted the solar schools project to the so-called par-procel, but it was not among the finalists. in the proposal presented, the total costs of the project were considered i.e., a scenario in which all energy efficiency measures were met and the photovoltaic solar power generation system was fully installed in the emhjs.  in addition, the replication of the project was considered in two new buildings of the municipal public school system. below, the total costs of the project and the costs of its replication are presented: total emhjs costs: r$675,000.00photovoltaic system: r$250,000lighting: r$130,000.00equipment change: r$60.00.00 000,00meters: r$10 000electric retrofit: r$200 000training: r$25 000replication in 2 buildings2 bh pilots (seed): r$134 0002 diagnostics: r$100 000","solar schools. the solar schools project is being developed under the compasso ufmg program, through a partnership established between the university and city of belo horizonte, with the objective of developing methods and solutions for municipal areas most vulnerable to climate change. the project aims to research the dynamics of electricity use in standard buildings of the municipal school system, propose actions to improve energy efficiency according to national regulations and prepare the installation in a solar photovoltaic generator interconnected to the electricity network of the local concessionaire. since september 2018, the solar schools project has been accelerated by the urban-leds ii project and, since the end of 2019, has been part of the leds lab initiative of this project, both funded by the european commission and implemented by iclei - local governments for sustainability in partnership with un-habitat. in this context, belo horizonte was selected to receive direct support from a consortium of specialized consultancies hired by iclei and composed by mitsidi projetos, i care & consult, markup consultores and hill consulting with the objective of implementing a pilot project of photovoltaic energy and/or energy efficiency from analysis of occupation and use of electricity at herbert josé de souza municipal school (emhjs),  in the northern region, as a first step towards the implementation of the solar schools project.recently, the leds lab consulting consortium concluded the series of webinars on climate finance, aimed at members. in addition, mitigation measures were proposed based on the analyses carried out by ufmg and the initiative's consultancy, which consider energy efficiency actions and renewable energy generation. two measures were selected for presenting technical, financial and environmental feasibility, with a view to implementing them in the emhj, i.e.: installation of photovoltaic solar power generation system (vf);  efficiency of internal lighting, considering the exchange of lamps and luminaires in order to meet the standards, improve visual comfort and save energy. these two mitigation measures will include the development of a basic project for each, that is, they will be studied, budgeted and detailed in order to effectively guide their implementation. part of these actions will be implemented with the seed capital made available by the urban-ledsii project (eur 15,000 or r$ 73,253.00), and part will be subject to application to obtain funding from other sources. recently, the consultancy submitted the solar schools project to the so-called par-procel, but it was not among the finalists. in the proposal presented, the total costs of the project were considered i.e., a scenario in which all energy efficiency measures were met and the photovoltaic solar power generation system was fully installed in the emhjs.  in addition, the replication of the project was considered in two new buildings of the municipal public school system. below, the total costs of the project and the costs of its replication are presented: total emhjs costs: r$675,000.00photovoltaic system: r$250,000lighting: r$130,000.00equipment change: r$60.00.00 000,00meters: r$10 000electric retrofit: r$200 000training: r$25 000replication in 2 buildings2 bh pilots (seed): r$134 0002 diagnostics: r$100 000",energy efficiency
cycling infrastructure,"cycling infrastructure: implementation of 150 km of bike paths and bike paths (map here: https://drive.google.com/file/d/0b3tqa2yarwrackxaekzxcwpkcfk/view) fully integrated to public transport. these 150 km are 36% of the planned cycle network in planmob-bh (sustainable urban mobility plan of belo horizonte) with a total of 410 km. the contribution of the typology of cycle projects was discussed with cyclists who produced a report with their issues for each street, and is the result of an agreement with civil society (cyclist) and public sector (municipality) that each cycle infrastructure needs to be discussed with civil society before implementation.","cycling infrastructure. cycling infrastructure: implementation of 150 km of bike paths and bike paths (map here: https://drive.google.com/file/d/0b3tqa2yarwrackxaekzxcwpkcfk/view) fully integrated to public transport. these 150 km are 36% of the planned cycle network in planmob-bh (sustainable urban mobility plan of belo horizonte) with a total of 410 km. the contribution of the typology of cycle projects was discussed with cyclists who produced a report with their issues for each street, and is the result of an agreement with civil society (cyclist) and public sector (municipality) that each cycle infrastructure needs to be discussed with civil society before implementation.",transport
electric mobility,"this project is coordinated by bhtrans and accelerated, since september 2018, by the urban leds ii project (implemented by iclei - local governments for sustainability in partnership with un-habitat with funding from the european commission and executed in belo horizonte in partnership with the city hall, through the special projects management of the municipal environment secretariat),  being aimed at electrifying the public transport fleet of the capital. its vision is as follows: ""by 2021, belo horizonte will have a fleet of at least 25 electric buses operating in its conventional service, with the aim of improving air quality, reducing noise pollution and reducing greenhouse gas emissions."" to this end, technical, economic, commercial and political risks have been mapped and risk mitigation actions are being studied. the financing alternatives of vehicles or batteries (imported components of higher value) are also being studied, but are still a challenge to be overcome. the pilot project includes a fleet of vehicles consisting of 3 minibuses, 17 standard buses and 5 articulated buses. the minibuses will be allocated to the vilas and favelas system (villages and slums) and on lines that circulate on roads with restrictions on the operation of larger vehicles. they can also be allocated to the companion service. conventional and standard vehicles represent the vast majority of the municipal fleet, distributed in circular, diametric, radial and power lines. the use of articulated vehicles is concentrated in the trunk system and they travel through exclusive routes or with preferential treatment for public transport. the reduction of greenhouse gas emissions, the improvement of air quality and the reduction of noise pollution are among the opportunities and impacts of the project, as well as the increase in the service of the public transport system, with the possibility of implementing this same technology in other areas. of the city.","electric mobility. this project is coordinated by bhtrans and accelerated, since september 2018, by the urban leds ii project (implemented by iclei - local governments for sustainability in partnership with un-habitat with funding from the european commission and executed in belo horizonte in partnership with the city hall, through the special projects management of the municipal environment secretariat),  being aimed at electrifying the public transport fleet of the capital. its vision is as follows: ""by 2021, belo horizonte will have a fleet of at least 25 electric buses operating in its conventional service, with the aim of improving air quality, reducing noise pollution and reducing greenhouse gas emissions."" to this end, technical, economic, commercial and political risks have been mapped and risk mitigation actions are being studied. the financing alternatives of vehicles or batteries (imported components of higher value) are also being studied, but are still a challenge to be overcome. the pilot project includes a fleet of vehicles consisting of 3 minibuses, 17 standard buses and 5 articulated buses. the minibuses will be allocated to the vilas and favelas system (villages and slums) and on lines that circulate on roads with restrictions on the operation of larger vehicles. they can also be allocated to the companion service. conventional and standard vehicles represent the vast majority of the municipal fleet, distributed in circular, diametric, radial and power lines. the use of articulated vehicles is concentrated in the trunk system and they travel through exclusive routes or with preferential treatment for public transport. the reduction of greenhouse gas emissions, the improvement of air quality and the reduction of noise pollution are among the opportunities and impacts of the project, as well as the increase in the service of the public transport system, with the possibility of implementing this same technology in other areas. of the city.",transport
mobility observatory,"urban mobility observatory (new website and tools): since 2013, belo horizonte has an urban mobility observatory, based on indicators to evaluate the results of the sustainable urban mobility plan of belo horizonte and a group of 64 stakeholders (including social movements, universities, technical associations, public institutions from other sectors, etc.). the current website (www.bhtrans.gov.br/observatorio) has some sections to disseminate information (library, indicator pages) and to stimulate discussion (critical opinions) about the problems and solutions of urban mobility. the content of this project is to improve this site with new tools such as a digital library with browser, factsheets on good practices, a platform to receive ideas from civil society based on maps and a digital edition of the urban mobility balance, an annual report with the result of key indicators. the group of indicators used by the observatory includes environmental issues such as global and local emissions, and is very useful for also assessing the effectiveness of pregee - greenhouse gas emission reduction plan.","mobility observatory. urban mobility observatory (new website and tools): since 2013, belo horizonte has an urban mobility observatory, based on indicators to evaluate the results of the sustainable urban mobility plan of belo horizonte and a group of 64 stakeholders (including social movements, universities, technical associations, public institutions from other sectors, etc.). the current website (www.bhtrans.gov.br/observatorio) has some sections to disseminate information (library, indicator pages) and to stimulate discussion (critical opinions) about the problems and solutions of urban mobility. the content of this project is to improve this site with new tools such as a digital library with browser, factsheets on good practices, a platform to receive ideas from civil society based on maps and a digital edition of the urban mobility balance, an annual report with the result of key indicators. the group of indicators used by the observatory includes environmental issues such as global and local emissions, and is very useful for also assessing the effectiveness of pregee - greenhouse gas emission reduction plan.",transport
municipal cycle plan,"the cycle plan will cover more than 180 km of bicycle paths in the various regions of the municipality and will be articulated with the main axes of transport. in total, campinas has already implemented more than 109 km of cycle routes (bike paths, cycle lanes, cycle lanes and shared sidewalks). to expand the supply of bike lanes and cycle lanes, the city plans to significantly increase the length of these bike lanes and cycle lanes in the coming years. the implementation of bicycle paths will have private funding, through environmental compensation. in 2016, two bike paths were implemented (on baden powel and north-south avenues) and at least 30 km in executive projects are being funded by the municipal environment fund.http://www.emdec.com.br/eficiente/sites/portalemdec/en-br/site.php?secao=sistema-cicloviario&pub=17650","municipal cycle plan. the cycle plan will cover more than 180 km of bicycle paths in the various regions of the municipality and will be articulated with the main axes of transport. in total, campinas has already implemented more than 109 km of cycle routes (bike paths, cycle lanes, cycle lanes and shared sidewalks). to expand the supply of bike lanes and cycle lanes, the city plans to significantly increase the length of these bike lanes and cycle lanes in the coming years. the implementation of bicycle paths will have private funding, through environmental compensation. in 2016, two bike paths were implemented (on baden powel and north-south avenues) and at least 30 km in executive projects are being funded by the municipal environment fund.http://www.emdec.com.br/eficiente/sites/portalemdec/en-br/site.php?secao=sistema-cicloviario&pub=17650",transport
linear parks,"the municipal legislation provides for the implementation and consolidation of forty-nine linear parks in the city. the municipality intends to finance the development of basic projects, which will allow the implementation of priority stretches defined through environmental compensation or other financing strategies, mainly in partnership with private initiative and national and international funds. the linear parks implementation program was awarded the tap iclei seal and selected for the gap fund project. in addition, to present two approved linear parks, 6 executive projects prepared and 16 basic projects by the private sector in the process of land parceling.https://www.campinas.sp.gov.br/governo/ambiente/parques-linears.php","linear parks. the municipal legislation provides for the implementation and consolidation of forty-nine linear parks in the city. the municipality intends to finance the development of basic projects, which will allow the implementation of priority stretches defined through environmental compensation or other financing strategies, mainly in partnership with private initiative and national and international funds. the linear parks implementation program was awarded the tap iclei seal and selected for the gap fund project. in addition, to present two approved linear parks, 6 executive projects prepared and 16 basic projects by the private sector in the process of land parceling.https://www.campinas.sp.gov.br/governo/ambiente/parques-linears.php",public and green spaces
