Questionnaire Name,Account Number,Account Name,Country,CDP Region,Sector,Title,Description
Cities 2021,31170,Metropolitan Municipality of Lima,Peru, Latin America,"Other, please specify: Agua Residual",Plantas de Tratamiento de Aguas Residuales de la Coorporación Municipal,"La Municipalidad de Lima cuenta con 3 plantas de tratamiento de aguas residuales, dos en parques zonales y una en vía principal. Es necesario operar estas plantas para el aprovechamiento de agua tratada en las áreas verdes de la ciudad. La importancia de esta operación radica en que al momento, la municipalidad esta utilizando agua potable para el riego de parques y jardines del Cercado de Lima, esto trae consigo una menor disponibilidad de este bien escaso para el consumo doméstico. El objetivo es lograr el reuso de las aguas residuales tratadas para el riego de parques y jardines y priorizar el uso de agua potable para el consumo humano. La puesta en marcha de estas 3 Plantas de Tratamiento permitirá el riego del 30% de los parques zonales del área metropolitana y el 100% de los parques del distrito del Cercado de Lima. Las plantas de tratamiento se encuentran en el distrito de Cercado de Lima"
Cities 2021,31170,Metropolitan Municipality of Lima,Peru, Latin America,Transport,Implementación de Ciclovías e infraestructura (estacionamientos para bicicletas),"Dentro del contexto del COVID-19 se han implementado 46 km de ciclovías emergentes dentro de las vías metropolitanas. Así mismo, la infraestructura actual de ciclovías asciende a más de 204 km y el objetivo planteado al 2035 es tener mas de 1000 km de ciclovías que conecten todas las vías metropolitanas.CICLOVÍA RECREATIVA DE LA AV. AREQUIPA: Es un espacio público para la promoción de hábitos de vida saludable, el transporte sostenible y las actividades de integración familiar las cuales al interactuar vivencian un cambio de actitud que aporta de manera significativa a la sociedad. El objetivo es lograr 52 cierres de este espacio cada año. Sin considerar eventualidades como la pandemia que vivimos actualmente, y que ha afectado el desarrollo normal del programa desde las quincena de marzo hasta la fecha. CICLOVÍAS EMERGENTES: Son ciclovías que nacen como resultado de acciones inmediatas, que surgen en el marco del urbanismo táctico, como una alternativa de trasporte para la reducir el riesgo de contagio por covid 19, además de ello proporciona más espacio y seguridad a ciclistas en situaciones de peligro o vulnerabilidad En tal sentido, estas ciclovías emergente se han implementado en varias ciudades del mundo durante la pandemia de COVID-19 con la finalidad de ayudar a los ciclistas a mantener la distancia social para minimizar el riesgo de contagio, además de otros beneficios colaterales, entre ellos el frenar el uso indiscriminado el vehículo privado fortaleciendo el Transporte no Motorizado que brinda beneficios a la salud, la economía y al ambiente.EJECUCIÓN DE CICLOVÍAS Y PARQUEO DE BICICLETAS:Desde Transporte No Motorizado se ejecutará durante estos dos años (2020 y 2021) los siguientes proyectos, en diferentes etapas:  I Etapa de ciclovías emergentes: Está compuesto por 46 km y 12 parqueaderos, comprendido por 11 tramos que facilitarán el desplazamiento en bicicleta en las zonas norte, sur, este y oeste. Además se implementarán medidas complementarias, como instalación de semáforos para ciclistas, reducción de velocidad a 40km/h del carril adyacente a las ciclovías e intervenciones de urbanismo tácticoII Etapa de ciclovías emergentes Está compuesto por 52 km y 20 parqueaderos, comprendido por 16 tramos que facilitarán el desplazamiento en bicicleta. PROYECTOS A CORTO PLAZONUEVAS CICLOVÍASEstá compuesto por nuevas ciclovías en San Juan de Lurigancho, Los Olivos, Villa el Salvador y la Victoria •AV. JORGE BASADRE - SJL•AV. SAN HILARIÓN - SJL•AV. LOS POSTES - SJL•AV. JARDINES - SJL•AV. TUSILAGOS - SJL•AV. LIMA – AV. FLORES DE PRIMAVERA – AV. CANTO GRANDE - SJL•AV. SANTA ROSA – SJL•AV. IZAGUIRRE – LOS OLIVOS•AV. SEPARADORA INDUSTRIAL – VILLA EL SALVADOR •AV. JUAN VELAZCO ALVARADO – VILLA EL SALVADOR•AV. 1ero DE MAYO – VILLA EL SALVADOR•AV. 200 MILLAS – VILLA EL SALVADOR•AV. MÉXICO – LA VICTORIAREHABILITACIÓN DE CICLOVÍASEstá compuesto por 36 KM ciclovías rehabilitadasMANTENIMIENTO DE CICLOVIA (25.18KM) con ejecución de EMAPE"
Cities 2021,31170,Metropolitan Municipality of Lima,Peru, Latin America,Waste management,Modernización Progresiva de la Gestión de los Residuos Sólidos,"Esta medida tiene como finalidad el mejorar y ampliar la recolección de residuos sólidos en el Centro Histórico de Lima, incluyendo la implementación de vehículos eléctricos para su traslado. Asimismo, implementar una Planta de  Tratamiento y Valorización de Residuos Sólidos Municipales en un área disponible del predio en donde se ubica el relleno sanitario ""El Zapallal”, incluyendo la construcción progresiva de infraestructuras de valorización material y energética de residuos sólidos orgánicos municipales, así como la implementación de otras tecnologíasSe está desarrollando un trabajo articulado con el Banco Interamericano de Desarrollo, Global Green Growth Institute, Embajada de Holanda, instituciones educativas y otros actores la modernización progresiva de la Gestión de Residuos Sólidos a fin de mejorar los sistemas de manejo de residuos sólidos con el enfoque de sostenibilidad."
Cities 2021,31170,Metropolitan Municipality of Lima,Peru, Latin America,"Other, please specify: Calidad del Aire y Ruido",,"La contaminación por vehículos ha sido identificada como el principal problema ambiental seguido por la falta de árboles y el mantenimiento de áreas verdes y el sistema de recolección de basura seguido por el nivel de ruido y la calidad del aire.Por ello, es importante obtener información actualizada sobre Calidad de Vida en el área de Contaminación Ambiental: monitoreo del nivel de ruido y calidad del aire en el Cercado de Lima; con el fin de ofrecer una mejor calidad de vida a sus habitantes a través de la toma de decisiones públicas y privadas basadas en evidencias y datos actualizados sobre la ciudad.Se identificarán áreas estratégicas en diferentes zonas del Cercado de Lima para realizar monitoreo de aire y ruido con el fin de tener un registro actualizado y disponible. Es por ello que se requerirán equipos como olfatómetros Nasal Ranger, sonómetros Cirrus tipo 1 y analizadores de gas E portátiles, que medirán CO, HC (en ppm), CO2, SO2 y NOx."
Cities 2021,31170,Metropolitan Municipality of Lima,Peru, Latin America,"Other, please specify: Áreas verdes",Implementar un nuevo sistema de  riego inteligente en los parques y jardines de la ciudad de Lima.,"Se desarrollará un estudio preliminar completo de caracterización de los riesgos de parques y jardines, con el fin de implementar un nuevo sistema de manejo de los mismos con un sistema de riego inteligente en la ciudad de Lima.Los parques y jardines de Lima Metropolitana estarían equipados con un sistema de sensores y controladores que miden las variables climáticas (temperatura, precipitación, humedad del suelo y velocidad del viento) e informan sobre la necesidad de agua que puedan tener las plantas. Esta información se transmite a un sistema GIS (Sistema de Información Geográfica) donde los técnicos municipales gestionan el riego en tiempo real desde su ordenador y detectan incidencias como averías o averías."
Cities 2021,31170,Metropolitan Municipality of Lima,Peru, Latin America,Buildings,Energía solar fotovoltaica en edificios públicos,"Este estudio se propone resumir los hallazgos del programa de Asistencia técnica C40 para edificios y energía para el proyecto de energía solar fotovoltaica en edificios públicos de la ciudad de Lima.La ciudad de Lima proporcionó datos de dos edificios públicos a ser considerados inicialmente para un proyecto piloto de energía solar fotovoltaica en techos. En este informe se presentan las conclusiones del análisis del potencial de energía solar fotovoltaica de los dos edificios seleccionados y el análisis financiero que demuestra la viabilidad financiera del proyecto y el período de amortización. La metodología del análisis es replicable y el proyecto piloto de energía fotovoltaica puede ser escalado al portafolio más amplio de edificios existentes en Lima, si se dispone de más datos sobre dichos edificios y su rendimiento energético. La ciudad de Lima ha identificado dos edificios para el proyecto piloto de energía solar fotovoltaica en edificios públicos: Edificio Confina y el Palacio Municipal.  La ciudad proveyó datos de los edificios, incluyendo datos sobre el consumo de energía e información sobre el precio de la energía para estos edificios, los cuales se presentan en la tabla siguiente. Se realizó el estudio de viabilidad de la energíasolar fotovoltaica y el análisis financiero se realizaron con dichos datos. La instalación de energía solar fotovoltaica en edificios públicos es una de las acciones clave que la ciudad puede tomar para descarbonizar y promover la generación local de energía limpia. El informe demuestra que las inversiones de energía solar fotovoltaica en edificios públicos de la Municipalidad de Lima pueden generar un retorno financiero positivo. Por lo tanto, la ciudad puede beneficiarse de la implementación de energía solar fotovoltaica en todos los edificios públicos desde una perspectiva financiera y ambiental.  Al desplegar la energía solar fotovoltaica en edificios públicos, la ciudad también puede ayudar a construir el mercado de energía solar fotovoltaica en la ciudad, puede liderar el camino y mostrar un ejemplo a seguir para que residentes y empresas implementen energía solar fotovoltaica en sus propios edificios. Sin embargo, el marco regulatorio actual no permite a la ciudad influir, controlar o promover la energía renovable en edificios privados."
Cities 2021,31172,Mexico City,Mexico, Latin America,Energy efficiency / retrofit,"""Transición a edificios públicos sustentables de la Ciudad de México""","Desarrollar diagnósticos energéticos en inmuebles de la administración pública, que permitan identificar los sistemas de consumo de energía con mayor potencial de reconversión para posteriormente sustituir dichos sistemas por equipos de alta eficiencia, además, de manera simultánea, se capacitará a los usuarios y operadores de los edificios para crear un sistema integral de la gestión de la energía."
Cities 2021,31172,Mexico City,Mexico, Latin America,Energy efficiency / retrofit,Programa de sustitución de refrigeradores.,"Sustitución y chatarrización de 45,000(por definir) refrigeradores con antigüedad sea mayor a 15 años, lo que permitirá obtener beneficios sociales, económicos y ambientales por la reducción de consumo de energía eléctrica.El documento adjunto es un borrador de la propuesta del programa dado que aún tiene modificaciones y no es de carácter público."
Cities 2021,31172,Mexico City,Mexico, Latin America,Renewable energy,Bono Solar.,"El proyecto Bono Solar contempla la instalación de 600 techos solares foto voltaicos en viviendas del sector subsidiado y su objetivo es demostrar la viabilidad técnica, operativa y financiera del esquema (utilizar el subsidio eléctrico residencial para financiar la compra e instalación de sistemas fotovoltaicos) de tal forma que se pueda escalar a una fase de mayor inversión en Ciudad de México (150,000 techos).El proyecto, aún se encuentra en estudio preliminar, por lo que no se tiene un monto estimado de la inversión inicial y costo total."
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil, Latin America,Waste management,Change of Fuel for the Waste Collection Fleet,"Rio de Janeiro started to change the waste collection fleet  - from diesel oil vehicles to electric vehicles, managed by COMLURB, a municipal company responsible for waste management."
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil, Latin America,Energy efficiency / retrofit,Sustainable Schools,"A study was developed by the World Bank on opportunities and costs for energy and water efficiency and solar power use in municipal schools buildings. Rio de Janeiro has more than 1400 schools buildings and this project would have a great impact. The study is in its second phase, looking for business models that would allow it to be implemented."
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil, Latin America,"Other, please specify: Indicators",,"Partnership with WRI to create an individual resilience indicator. Rio de Janeiro has helped to develop the indicator, which will be applied also in China and India. In the end of 2016 400 questionnaires were applied in two slums of Rio. WRI and Rio have interest in continue this project, Rockefeller Foundation has manifested the interest to support it."
Cities 2021,31180,Región Metropolitana de Santiago,Chile, Latin America,Transport,,"The Nationally Appropriate Mitigation Action (NAMA) Green Zone for Transport in Santiago (ZVTS) are looking for pilot initiatives for sustainable transport that could be replicated to other cities in Chile, reducing emissions of greenhouse gases and local pollution, make friendliest cities and generate transformational changes in urban passenger transport."
Cities 2021,31180,Región Metropolitana de Santiago,Chile, Latin America,Water management,,"Maipo Adaptation Plan (MAPA): Development of a plan for adaptation to climate variability and change in the Maipo River basin, from the analysis of vulnerabilities of different types of users of water resources. It aims to make the project through four specific objectives: 1. Designing a conceptual framework for the development of an adaptation plan in the Maipo River basin2. Identify vulnerabilities and design the first adaptation strategies for agricultural and urban sectors.3. Design of a modeling tool that integrates supply and demand for water, taking into account elements of quality and quantity of water, under scenarios of variability and change in climate.4. Generate adaptation scenarios for the medium and long term in the Rio Maipo."
Cities 2021,31184,Prefeitura de São Paulo,Brazil, Latin America,,,"A primeira central de compostagem do programa Feiras e Jardins Sustentáveis, chamada de pátio piloto da Lapa foi criado para evitar que resíduos orgânicos (frutas, legumes e verduras) coletados nas feiras livres de São Paulo sejam descartados em aterros sanitários. Pelo projeto, o material será reciclado e transformado em adubo ecológico. O equipamento serve de referência para outros pátios e quatro centrais de compostagem que serão implantados na cidade. A iniciativa é uma realização da Secretaria de Serviços, por meio da Autoridade Municipal de Limpeza Urbana (Amlurb), em parceria com a Prefeitura Regional da Lapa e a empresa Inova, responsável pelos serviços de limpeza nas regiões norte, oeste e central do município. Localizado em uma área de três mil metros quadrados na Subprefeitura da Lapa, o pátio piloto vem recebendo, desde setembro, cerca de 35 toneladas semanais de resíduos orgânicos, coletados em 26 feiras da região.Está na hora de superarmos mais um deles, a partir de mobilização e trabalho conjunto para aumentar a quantidade de resíduos sólidos reciclados em nossa cidade. Com a participação de todos, São Paulo, um dos maiores centros urbanos do planeta, pode se tornar exemplo de sucesso para o Brasil e para o mundo na área. Para isso, foi criado o movimento Recicla Sampa, uma iniciativa das concessionárias de resíduos da cidade: Loga e Ecourbis, com apoio institucional da Prefeitura de São Paulo, através da Autoridade Municipal de Limpeza Urbana, a AMLURB.A meta é bastante factível: reduzir em 600 mil toneladas o montante de resíduos enviados aos aterros municipais até 2024, conforme consta do Plano de Metas da Prefeitura de São Paulo para 2020/2024.O Recicla Sampa é uma iniciativa para promover educação ambiental e ampliar a conscientização da população acerca da importância de tratar com mais responsabilidade os resíduos que geramos. Seus objetivos estão totalmente integrados às políticas nacional e municipal de resíduos sólidos. Em 2017, o volume total destinado no município a esses locais foi de 3.763.592 toneladas. Número que já representa redução de 126.912 toneladas em relação à média anual aferida entre 2013 e 2016.Mas é possível reduzir muito mais no futuro. As potencialidades são do tamanho de São Paulo. Enquanto cerca de 40% dos resíduos gerados pelos paulistanos poderiam estar sendo reciclados, apenas 7% o são atualmente."
Cities 2021,35848,Municipality of Belo Horizonte,Brazil, Latin America,"Other, please specify: Resiliência climática","Belo Horizonte, capital da sustentabilidade e resiliência da América Latina","Placas para o Transporte Ativo: O objetivo do projeto é criar facilidades, através de comunicação visual e universal, para que as pessoas possam se locomover a pé e pedalar com mais eficiência, conforto e agilidade pelas ruas de Belo Horizonte. Através da implementação de sinalizações específicas e focado em quem está caminhando e pedalando, o projeto visa encurtar as distâncias entre pontos específicos da cidade para otimizar os deslocamentos do transporte ativo na cidade. Inicialmente, o projeto será implementado no centro da cidade."
Cities 2021,35848,Municipality of Belo Horizonte,Brazil, Latin America,"Other, please specify: Acessibilidade à governança e serviços ao cidadão, Sustentabilidade, Meio Ambiente e Cidadania",Favela 2030,"O projeto visa, por meio da troca de experiências e conhecimento entre os atores constituintes (Prefeitura de Belo Horizonte e governo da província de Barcelona), melhorar a qualidade de vida, promover mais eficiência na prestação de serviços públicos e no desenvolvimento de maneira abrangente e transversal. A abordagem de Cidade Inteligente e os marcos globais de desenvolvimento serão adotados como base teórica e normativa do projeto independente Smart Favela, para desenvolver ações nos eixos: Sustentabilidade; Acessibilidade à Governança; Desenvolvimento Econômico e Urbano; Mobilidade e Segurança e Tecnologia e Inclusão Digital. Logo, o objetivo é desenvolver uma estratégia abrangente e integrada de desenvolvimento sustentável por meio de soluções inteligentes e inovadoras a fim de reduzir a pobreza, desigualdades e vulnerabilidades, bem como melhorar a qualidade de vida, promover a capacitação e a inclusão social e digital dos moradores de vilas, favelas e aglomerados."
Cities 2021,35848,Municipality of Belo Horizonte,Brazil, Latin America,Transport,Zonas 30,"Zonas de 30 km: Implantação de cinco novos Zonas de 30 km, com medidas de acalmia do tráfego (vagas “Zigzag”, áreas verdes em adaptações de vias, sinalização com sinalização horizontal e vertical e algumas câmeras de limite de velocidade) e móveis urbanos com reciclagem paletes e pneus usados. A primeira Zona de 30 km em Belo Horizonte será implementada em 2016, como um projeto piloto, resultado da SOLUTIONS (http://www.urban-mobility-solutions.eu/). Todas as áreas propostas fazem parte da área central de Belo Horizonte e integram o mapa colaborativo produzido pelas oficinas de ciclistas que indicaram soluções urbanas para as bicicletas. A sociedade civil também sugeriu essa medida (Zona de 30 km) para incorporar ao Plano de Mobilidade Urbana Sustentável de Belo Horizonte (PlanMob-BH) em um processo participativo em 2014 (IV Conferência Urbana). Uma espécie de ação ganha-ganha, este projeto pode estimular modos de transporte de caminhada e ciclo e melhorar o espaço público e o ambiente local."
