area,title+desc
transport,"implementation of bicycle paths and infrastructure (bicycle parking lots). within the context of covid-19, 46 km of emerging cycle lanes have been implemented within the metropolitan thoroughfares. likewise, the current infrastructure of bicycle paths amounts to more than 204 km and the goal set by 2035 is to have more than 1000 km of bicycle paths that connect all the metropolitan routes. arequipa: it is a public space for the promotion of healthy living habits, sustainable transportation and family integration activities which, when interacting, experience a change in attitude that contributes significantly to society. the goal is to achieve 52 closures of this space each year. without considering eventualities such as the pandemic that we are currently experiencing, and that has affected the normal development of the program from the fortnight of march to date. emerging cycle paths: they are cycle paths that are born as a result of immediate actions, which arise within the framework of tactical urbanism, as a transport alternative to reduce the risk of contagion by covid 19, in addition to this it provides more space and security for cyclists in situations of danger or vulnerability in this sense, these emerging bike lanes have been implemented in several cities around the world during the covid-19 pandemic in order to help cyclists maintain social distance to minimize the risk of contagion, in addition to other benefits collaterals, among them stopping the indiscriminate use of private vehicles, strengthening non-motorized transport that provides benefits to health, the economy and the environment. execution of cycle paths and bicycle parking: non-motorized transport will be carried out during these two years (2020 and 2021) the following projects, in different stages: i stage of emerging bike paths: it is made up of 46 km and 12 parking spaces, comprised of 11 sections that will facilitate cycling in the north, south, east and west areas. in addition, complementary measures will be implemented, such as the installation of traffic lights for cyclists, a speed reduction to 40 km/h in the lane adjacent to the bike paths and tactical urban planning interventions. commuting by bicycle. short-term projectsnew bicycle lanesconsists of new bicycle lanes in san juan de lurigancho, los olivos, villa el salvador and la victoria •av. jorge basadre - sjl•av. saint hilarion - sjl•av. posts - sjl•av. gardens - sjl•av. coltsfoot - sjl•av. lime – av. spring flowers – av. big song - sjl•av. santa rosa – sjl•av. izaguirre – the olive trees • av. industrial separator – villa el salvador •av. juan velazco alvarado – villa el salvador•av. may 1st – villa el salvador•av. 200 miles – villa el salvador•av. méxico – la victoriarehabilitation of bicycle lanesit is made up of 36 km of rehabilitated bicycle lanesmaintenance of bicycle lanes (25.18 km) with execution of emape"
waste management,"progressive modernization of solid waste management. the purpose of this measure is to improve and expand solid waste collection in the historic center of lima, including the implementation of electric vehicles for its transfer. likewise, implement a municipal solid waste treatment and recovery plant in an available area of the property where the &quot;el zapallal&quot; sanitary landfill is located, including the progressive construction of infrastructures for material and energy recovery of municipal organic solid waste, as well as the implementation of other technologies an articulated work is being carried out with the inter-american development bank, global green growth institute, embassy of the netherlands, educational institutions and other actors the progressive modernization of solid waste management in order to improve waste management systems solid with a focus on sustainability"
buildings,"photovoltaic solar energy in public buildings. this study aims to summarize the findings of the c40 technical assistance program for buildings and energy for the photovoltaic solar energy project in public buildings in the city of lima. the city of lima provided data for two public buildings to be initially considered for a project. photovoltaic solar energy pilot on roofs. this report presents the conclusions of the analysis of the photovoltaic solar energy potential of the two selected buildings and the financial analysis that demonstrates the financial viability of the project and the payback period. the analysis methodology is replicable and the pv pilot project can be scaled to the broader portfolio of existing buildings in lima, if more data on these buildings and their energy performance is available. the city of lima has identified two buildings for the pilot project of photovoltaic solar energy in public buildings: the confina building and the municipal palace. the city provided building data, including energy consumption data and energy price information for these buildings, which are presented in the table below. the feasibility study of photovoltaic solar energy and the financial analysis were carried out with said data. the installation of photovoltaic solar energy in public buildings is one of the key actions that the city can take to decarbonize and promote the local generation of clean energy. the report demonstrates that solar pv investments in public buildings in the municipality of lima can generate a positive financial return. therefore, the city can benefit from the implementation of solar pv in all public buildings from a financial and environmental perspective. by deploying solar pv in public buildings, the city can also help build the solar pv market in the city, it can lead the way and show a role model for residents and businesses to implement solar pv in their own buildings . however, the current regulatory framework does not allow the city to influence, control or promote renewable energy in private buildings"
energy efficiency / retrofit,"&quot;transition to sustainable public buildings in mexico city&quot;. develop energy diagnoses in public administration buildings, which allow the identification of energy consumption systems with the greatest potential for reconversion in order to subsequently replace said systems with high-efficiency equipment, in addition, simultaneously, users and operators of the systems will be trained. buildings to create a comprehensive energy management system"
energy efficiency / retrofit,"refrigerator replacement program replacement and scrapping of 45,000 (to be defined) refrigerators older than 15 years, which will allow obtaining social, economic and environmental benefits by reducing electricity consumption. the attached document is a draft of the program proposal given that it still has modifications and is not public"
renewable energy,"sun bonus. the solar bond project contemplates the installation of 600 photovoltaic solar roofs in homes in the subsidized sector and its objective is to demonstrate the technical, operational and financial feasibility of the scheme (use the residential electricity subsidy to finance the purchase and installation of photovoltaic systems) in such so that it can be scaled to a phase of greater investment in mexico city (150,000 roofs). the project is still in a preliminary study, so there is no estimated amount of the initial investment and total cost"
waste management,"change of fuel for the waste collection fleet. rio de janeiro started to change the waste collection fleet  - from diesel oil vehicles to electric vehicles, managed by comlurb, a municipal company responsible for waste management"
energy efficiency / retrofit,"sustainable schools. a study was developed by the world bank on opportunities and costs for energy and water efficiency and solar power use in municipal schools buildings. rio de janeiro has more than 1400 schools buildings and this project would have a great impact. the study is in its second phase, looking for business models that would allow it to be implemented"
transport,"30 zones. 30 km zones: implementation of five new 30 km zones, with traffic calming measures (zigzag spaces, green areas in road adaptations, signage with horizontal and vertical signs and some speed limit cameras) and urban furniture with recycling pallets and used tires. the first 30 km zone in belo horizonte will be implemented in 2016, as a pilot project, the result of solutions (http://www.urban-mobility-solutions.eu/). all the proposed areas are part of the central area of belo horizonte and are part of the collaborative map produced by the cyclists&#39; workshops that indicated urban solutions for bicycles. civil society also suggested this measure (30 km zone) to be incorporated into the sustainable urban mobility plan of belo horizonte (planmob-bh) in a participatory process in 2014 (iv urban conference). a kind of win-win action, this project can stimulate walk and cycle transport modes and improve public space and local environment"
transport,"cycling infrastructure. cycling infrastructure: implementation of 150 km of bike paths and cycle paths (map here: https://drive.google.com/file/d/0b3tqa2yarwrackxaekzxcwpkcfk/view) fully integrated with public transport. these 150 km are 36% of the network of cycles planned in the planmob-bh (sustainable urban mobility plan for belo horizonte) with a total of 410 km. the contribution of the typology of cycle projects was discussed with cyclists who produced a report with their issues for each street, and is the result of an agreement with civil society (cyclists) and public sector (municipality) that each cycle infrastructure needs to be discussed with civil society before implementation"
transport,"mobility observatory. urban mobility observatory (new website and tools): since 2013, belo horizonte has had an urban mobility observatory, based on indicators to assess the results of belo horizonte&#39;s sustainable urban mobility plan and a group of 64 stakeholders (including social movements , universities, technical associations, public institutions from other sectors, etc.). the current website (www.bhtrans.gov.br/observatorio) has some sections to disseminate information (library, pages of indicators) and to stimulate discussion (critical opinions) about the problems and solutions of urban mobility. the content of this project is to improve this site with new tools such as a digital library with browser, information sheets on good practices, a platform to receive ideas from civil society based on maps and a digital edition of the urban mobility balance sheet, an annual report with the result of key indicators. the group of indicators used by the observatory includes environmental issues, such as global and local emissions, and is very useful to also assess the effectiveness of the pregee - plan to reduce greenhouse gas emissions"
energy efficiency / retrofit,"solar schools. the solar schools project is being developed under the compasso ufmg program, through a partnership established between the university and the city of belo horizonte, with the aim of developing methods and solutions for municipal areas that are more vulnerable to climate change. the project aims to research the dynamics of electricity use in standard buildings in the municipal education network, propose actions to improve energy efficiency in accordance with national regulations and prepare the installation of a solar photovoltaic generator system interconnected to the utility&#39;s electrical network local. since september 2018, the solar schools project has been accelerated by the urban-leds ii project and, since the end of 2019, it integrates the leds lab initiative of this project, both funded by the european commission and implemented by iclei - local governments for sustainability in partnership with the un-habitat. in this context, belo horizonte was selected to receive direct support from a consortium of specialized consultants contracted by iclei and composed of mitsidi projects, i care &amp; consult, markup consultants and hill consulting with the aim of implementing a pilot project for photovoltaic energy and/or or energy efficiency based on an analysis of occupancy and use of electricity at the herbert josé de souza municipal school (emhjs), in the northern region, as the first step towards implementing the solar schools project. completed the climate finance webinar series for members. in addition, mitigation measures were proposed based on analyzes carried out by ufmg and the initiative&#39;s consultancy, which consider energy efficiency actions and renewable energy generation. two measures were selected due to their technical, financial and environmental viability, with a view to implementing them at emhj, namely: installation of a photovoltaic (fv) solar energy generation system; improvement of internal lighting, considering changing light bulbs and light fixtures in order to meet standards, improve visual comfort and save energy. these two mitigation measures will rely on the development of a basic project for each, that is, they will be studied , budgeted and detailed in order to effectively guide its execution. part of these actions will be implemented with the seed capital made available by the urban-ledsii project (eur 15,000 or r$ 73,253.00), and part will be applied to obtain financing from other sources. recently, the consultancy submitted the solar schools project to the call for par-procel, but it was not among the finalists. in the submitted proposal, the total project costs were considered, that is, a scenario in which all energy efficiency measures were complied with and the photovoltaic solar energy generation system was fully installed at the emhjs. in addition, consideration was given to replicating the project in two new buildings for the municipal public school system. below are the total costs of the project and the costs of its replication:total costs in hjs: r$675,000.00photovoltaic system: r$250,000lighting: r$130,000.00equipment change: r$60,000.00meters: r$10,000electrical retrofit: r$200,000training : r$25 000replication in 2 buildings2 bh pilots (seed): r$134 0002 diagnostics: r$100 000"
transport,"electric mobility. this project is coordinated by bhtrans and accelerated, since september 2018, by the urban leds ii project (implemented by iclei - local governments for sustainability in partnership with un-habitat with funding from the european commission and executed in belo horizonte in partnership with the city hall through the management of special projects by the municipal secretary of the environment), aimed at electrifying the public transport fleet in the capital. its vision is as follows: &quot;in 2021, belo horizonte will have a fleet of at least 25 electric buses operating in its conventional service, with the aim of improving air quality, reducing noise pollution and reducing greenhouse gas emissions stove&quot;. for this purpose, technical, economic, commercial and political risks were mapped and risk mitigation actions are being studied. alternatives for financing vehicles or batteries (higher value imported components) are also being studied, but are still a challenge to be overcome. the pilot project includes a vehicle fleet consisting of 3 minibuses, 17 standard buses and 5 articulated buses. the minibuses will be allocated to the vilas e favelas (villages and favelas) system and in lines that circulate on roads with restrictions on the operation of larger vehicles. they can also be allocated in the complementary service. conventional and standard vehicles represent the vast majority of the municipal fleet, distributed in circular, diametric, radial and feeder lines. the use of articulated vehicles is concentrated in the trunk system and they travel on exclusive routes or with preferential treatment for public transport. the reduction of greenhouse gas emissions, the improvement of air quality and the reduction of noise pollution are among the opportunities and impacts of the project, as well as the increase in the service of the public transport system, with the possibility of implementing this same technology in other areas. from the city"
waste management,"platform recycling attitudes. recycling attitudes in the city - the project seeks to reclassify illegal garbage disposal points in the city, with cleaning the site, landscaping improvements and environmental education actions in the community. the recycling attitude program is a commitment to change citizens&#39; attitudes towards the city. a proposal for cultural change. a new way of relating the citizen with strength, with its potentialities and challenges, is proposed. environmental education is the main tool, but it is not the only one, for the implementation of sustainable actions and new attitudes in the process of building a sustainable, shared and kind fortress"
waste management,"implementation of spaces recycling attitudes and pev collectors. integrates the articulation, mobilization, awareness and implementation of collection islands for the voluntary delivery of recyclables in schools of the municipal education network. the materials collected are donated to collectors or associations of collectors in the surrounding community. the main partners are the municipal secretariat for conservation and public services (scsp), ecofor ambient and socicam. the schools in the municipal education network, in fortaleza, which have already benefited from the pev&#39;s project"
transport,"fortress municipal walkability plan - pmcfor. the municipal plan for walkability in fortaleza (pmcfor), which aims to encourage pedestrians and people with reduced mobility to walk on sidewalks, through the requalification of sidewalks, ensuring completeness in the neighborhoods, linking housing and work. this has the mission of diagnosing the situation of sidewalks in the city and reflecting on strategies and guidelines for actions that can guide the executive branch regarding public policies that envisage walkability and, in the broadest sense, human mobility, as a central theme or transverse"
waste management,"plan for the procurement of organic waste susceptible to treatment to reduce disposal in sanitary landfills and generate valuable inputs. project worked in conjunction with c40, this recognizes and celebrates the interest and institutional will of the city of guadalajara, to move towards the search for solutions that improve the management of the organic fraction in the region and through the waste and food program supports the definition of technical support as part of the emblematic project cothe following tasks have been carried out to date: ● evaluation of the institutional framework for the procurement of organic waste and implementation of treatment projects● evaluation of relevant existing advances within the objectives of the comprehensive management plan of the region● identification and evaluation of potential sites for the construction of treatment facilities and estimation of treatment capacity for different technologies● identification of large generators and estimate of current generation of organic waste from them● proposal for a progressive procurement plan 2020-2035 of organic waste cos with five-year scenarios that contemplate the collection of large generators, the hospitality industry (restaurants, markets, hotels, etc.) as well as potentially mixed and source-separated household waste, if feasible.● indicative estimate of investment, operation and maintenance costs of treatment solutions through technologies compatible with the procurement and composition scenarios using tools such as organecs 2.0 or similar ● evaluation of the demand and possible use of the compost produced from the organic fraction of the msw, as well as a feasibility study of the integration of compost as an additional source in the industrial manufacture of fertilizers.● presentation of reports, progress, and results to the city of guadalajara and its technical teams through imeplan, city advisor, and other relevant institutions."
waste management,"mobile recycling. to promote the proper management of solid urban waste and create a culture of recycling in the population, the &quot;mobile recycling&quot; campaigns were implemented, starting in june, it is carried out every tuesday in different neighborhoods, where together with ecoce ac post-consumer pet, hdpe, aluminum and glass packaging waste is collected, weighed and exchanged for products from the basic basket, the foregoing, with the aim of reducing the volume of solid waste, preserving the environment and mitigate contamination. to date, 380 kg of the various materials received have been collected. likewise, 23 recycling collection brigades have been carried out in different neighborhoods of the municipality, such as the arturo b. neighborhood. de la garza, glory mendiola, conquistadors, infonavit valley 1st. sector, san ángel norte, fomerrey 113, march 10, among others"
water management,"eco recife program - management and sustainable use of water in the city hall building. filtering gardens: the problem of sanitation and protection of rivers is complex in nature and throughout history the city has still not been able to address them to the extent necessary to reverse the degradation scenario. therefore, it is essential to join forces and use innovative action strategies. from this perspective, some water cleaning and treatment technologies were researched and debated as complementary alternatives to basic sanitation. among the researched alternatives, the technology called filtering gardens was identified as appropriate for this context. this technology presents some characteristics considered important for its application in the city. among them, the relatively simple and low-cost management of the systems; the possibility of water treatment systems being inserted as water gardens with landscape qualities; the use and protection of riverside areas as public areas for environmental recovery, avoiding future occupations and environmental risks; and the emission level of greenhouse gases (ghg) significantly lower than other conventional sewage treatment systems. in the context of the reef, what is proposed is to use filtering garden systems in some stretches of polluted streams, but which still have great potential to recover their environmental qualities, and to become leisure areas for the population. the stretches were selected based on the characteristics of the existing streams and their surroundings (type of urban occupation, topography, water flow, etc.), as well as the observed potential to assume role as exemplary interventions for a new standard of urban action in urban streams from the reef. that is, to establish a paradigm shift in the city. in objective terms, the main guideline to be considered here is the break with the still dominant concept that promoted the rectification and waterproofing of a good part of the reef&#39;s creeks as the main way of protecting urbanized areas from floods. in this way, the four areas selected for the installation of filtering gardens comprise the region of the capibaribe park and the jiquiá park, offering improvement of the waters in the capibaribe river, and the jiquiá and tejipió rivers"
waste management,"ecobarriers. ecobarreiras the habit of the population of the reef to throw their garbage in the waters of the rivers that cross the city dates back to the period of dutch urbanization, when the population was encouraged to dump their waste on the bank of the capibaribe river to make landfills. this habit is currently a chronic problem. when this residue reaches the drainage system, it can cause obstruction of channels and an increase in the frequency of floods, as well as the alteration of the quality of water bodies due to the long time for its decomposition, as is the case of plastics, and also the passage of aquatic animals. when they follow the course of the river, they end up being discharged into the sea, causing silting up; preventing the development of mangroves; harming fauna, such as when they are accidentally ingested or when a bag is attached to an animal&#39;s neck and causes its hanging; contaminating estuary waters; favoring the propagation of disease-transmitting vectors and making nautical sports and tourism activities difficult. in addition to the high cost, it is a temporary solution and difficult to be effective. therefore, proper management must start with preventing waste generation, which is the responsibility of all citizens and the public authorities. no policy can be truly effective without the adherence and participation of the population.parallel to the performance of municipal solid waste actions, the installation of eco-barriers is estimated. ecobarriers are physical obstacles made of floating material, installed close to the mouths of rivers and streams, and which represent an alternative way of cleaning up the course of water in rivers and canals by containing solid waste from anthropic action in the environment. despite recognizing that the implementation of this equipment cannot be seen as an end goal as it is a palliative way of dealing with the issue of waste that ends up in bodies of water, it is possible to find cases of success of its application in other cities do brasil.in addition to their palliative effect in the collection of floating waste, eco-barriers play a significant role in environmental education. it is an itinerant environmental education action to give visibility to the problems of solid waste in rivers, allowing awareness campaigns in the city. the methodology envisaged for its application provides for the formulation and implementation of effective alternatives for the recovery and structuring of the region&#39;s ecosystems in an integrated and participatory manner with the environment and local communities, also relying on educational actions. in this way, it will seek to provide a harmonious and balanced environment so that society can enjoy it responsibly, as well as improving the quality of life and sustainable development of the communities and populations involved. a portion of the floating garbage present in the city&#39;s rivers, both through its direct collection and through the reduction of the amount of garbage emitted by the population. furthermore, the purpose of the project is to significantly retain the input of solid waste in the piped rivers arruda and jordão, in the neighborhoods of bebeibe and boa viagem, in addition to the rainwater channels that flow into the apipucos dam. environments, it is expected to promote conditions for the harmonious development of aquatic organisms, generating ecologically balanced environments"
waste management,"smart manholes. intelligent manholesthe daily production of waste is a major problem for large brazilian cities. although the collection system has undergone considerable improvements in recent years, such as selective collection for example, it often proves to be inefficient. the result of this is the frequent accumulation of non-degradable waste in inappropriate places, such as manholes and storm drains. the clogging of drainage routes reduces the flow of rainwater, causing flooding. when they do not stop at the visit points (culverts), which are part of the city&#39;s sewage network, this garbage is destined for streams and rivers, polluting them and facilitating the overflow of their waters in times of floods. although part of this pollution is due to irregular sewage routes and the lack of sewage treatment, street garbage is also largely responsible for the degradation of streams and rivers. polluted rivers and floods cause inconvenience to the population and traffic, compromising properties and even loss of life. the reef has around 1500 km of galleries and channels that make up the municipality&#39;s drainage system. as it is a city that is practically at sea level, and because it is already experiencing some effects from climate change, the reef suffers from the incidence of flooding in specific posts. when it rains, the situation tends to worsen in these places. an action to clean galleries and gutters recently carried out by the city hall in a single street in a neighborhood of the city showed that in just one day of operation, 45 tons of waste were removed. therefore, it is desirable to apply measures to prevent this waste from reaching the city&#39;s drainage network. known as &quot;intelligent manholes&quot;, the technology offers an efficient solution to solve this problem. it is a filter that is placed in the city&#39;s manholes, presenting itself as physical barriers and preventing the waste from flowing out. coupled to this mechanism, sensors are installed that indicate the volume of garbage retained in the filter. this information is monitored by the city&#39;s urban cleaning company through an application/software, which sends a team responsible for emptying the filter. workers can complete the service in 5 to 10 minutes, while the traditional cleaning method takes 40 to 50 minutes. this fact leads to more manholes being cleaned in a shorter period of time in the city, leading to a reduction in public spending. in addition, due to the nature of the waste that ends up in gutters and manholes being plastic objects, these materials can be sent for recycling. in order to reduce, mainly, the habit of throwing garbage in the streets. for this project, the aim is to apply this technology in a neighborhood of the city of recife, totaling 213 culverts"
transport,"cycle lanes for the weather. cycle lanes for the climate the main objective of the project is to improve the city of recife with an efficient cycle path system, which meets the cycling master plan for the metropolitan region of recife and the ghg reduction plan for the reef (low carbon plan), with actions that provide for the implementation of tree-lined bicycle lanes. for this reason, priority will be given to the city&#39;s structuring cycle paths, ensuring their afforestation and, in this way, reducing the city&#39;s heat islands and ghg emissions. cycle path and 100% of the low carbon plan target, ensuring that 22,220 tco2e are no longer emitted due to the implemented cycle paths and 550 tco2e due to afforestation, totaling 22,770 tco2e of mitigation annually"
transport,"80 light metro. some documents with project information are attached, derived from external sources and a link to the project site is shared. https://www.metrodemedellin.gov.co/metrodela80/"
renewable energy,"solar farm clt aoh. the medellín mobility secretariat created the clt aoh solar farm board with which it intends to develop a project that achieves the implementation of solar panels in areas of the olaya herrera airport with which the environmental impact of air pollution from the airport can be mitigated. and in turn supply energy for charging electric vehicles that will arrive at the logistics center once built. this project is conceived based on the following environmental benefits: it generates energy through a non-polluting process: it does not emit toxic substances or air pollution .does not emit greenhouse gases.energy from the sun is not finite, it is an inexhaustible source, thus creating an energy system that lasts over time.useful life between 25 to 30 years.waste from photovoltaic panels is not hazardous and 80% recyclable and recoverable, reducing the volume of waste"
waste management,"energy and material use plant through the treatment of organic waste in the city of medellin. the project intends to develop a plant for the management of organic waste in the city of medellin, trying to increase its use and reduce the rates of final disposal in landfills. it is currently in the pre-feasibility stage, therefore the process begins with the following activities: identification, evaluation, management and analysis for the selection of properties studies of the selected property and designs for the implementation of the utilization system in the pre-feasibility phase (evaluation and definition) commercial, financial and tariff analysis of the exploitation plant definitive designs in the feasibility phase of the selected alternative (25 years). given this situation, there is still no estimate of the necessary investment values"
